period,storenum,weeknum,saleb1,apriceb1,rpriceb1,promotb1,saleb2,apriceb2,rpriceb2,promotb2,saleb3,apriceb3,rpriceb3,promotb3,saleb4,apriceb4,rpriceb4,promotb4,saleb5,apriceb5,rpriceb5,promotb5
1,1.00,1.00,"6,439.00",0.66,0.82,2.00,"6,295.00",0.82,0.85,0.00,"1,889.00",0.79,0.80,2.00,"3,740.00",0.70,0.71,0.00,"2,687.00",0.59,0.59,0.00
1,1.00,2.00,"3,329.00",0.62,0.74,2.00,"5,908.00",0.80,0.83,0.00,"15,948.00",0.59,0.90,3.00,"3,126.00",0.68,0.70,0.00,"2,786.00",0.59,0.59,0.00
1,1.00,3.00,"3,415.00",0.62,0.73,0.00,"7,321.00",0.77,0.83,0.00,"6,059.00",0.63,0.87,2.00,"9,820.00",0.59,0.72,3.00,"2,663.00",0.59,0.59,0.00
1,1.00,4.00,"2,909.00",0.62,0.73,0.00,"12,876.00",0.66,0.86,2.00,"1,393.00",0.81,0.81,2.00,"6,727.00",0.59,0.71,2.00,"2,484.00",0.59,0.59,0.00
2,1.00,5.00,"2,598.00",0.63,0.72,0.00,"15,607.00",0.65,0.87,3.00,"1,329.00",0.81,0.81,2.00,"2,489.00",0.68,0.71,0.00,"2,519.00",0.59,0.59,0.00
2,1.00,6.00,"3,773.00",0.69,0.74,0.00,"17,644.00",0.63,0.89,3.00,"1,534.00",0.80,0.81,0.00,"3,240.00",0.69,0.70,0.00,"2,929.00",0.59,0.59,0.00
2,1.00,7.00,"20,383.00",0.63,0.81,3.00,"9,755.00",0.65,0.86,2.00,"1,162.00",0.78,0.79,2.00,"2,431.00",0.67,0.69,0.00,"3,423.00",0.59,0.59,0.00
2,1.00,8.00,"11,761.00",0.65,0.83,2.00,"4,049.00",0.78,0.82,0.00,"1,422.00",0.80,0.81,2.00,"10,206.00",0.59,0.72,3.00,"2,852.00",0.59,0.59,0.00
3,1.00,9.00,"2,614.00",0.77,0.77,2.00,"23,438.00",0.62,0.86,3.00,"1,386.00",0.77,0.81,2.00,"7,083.00",0.59,0.71,0.00,"2,666.00",0.59,0.59,0.00
3,1.00,10.00,"2,496.00",0.81,0.81,2.00,"11,415.00",0.69,0.86,2.00,"8,632.00",0.68,0.89,3.00,"5,817.00",0.59,0.69,2.00,"2,686.00",0.59,0.59,0.00
3,1.00,11.00,"20,811.00",0.68,0.86,3.00,"3,672.00",0.85,0.87,2.00,"4,895.00",0.70,0.87,2.00,"2,382.00",0.68,0.69,0.00,"2,619.00",0.59,0.59,0.00
3,1.00,12.00,"8,339.00",0.71,0.85,2.00,"4,206.00",0.86,0.89,2.00,"2,083.00",0.80,0.82,2.00,"3,287.00",0.69,0.70,0.00,"2,641.00",0.59,0.59,0.00
4,1.00,13.00,"2,793.00",0.84,0.84,2.00,"4,485.00",0.86,0.88,2.00,"2,257.00",0.80,0.82,2.00,"4,085.00",0.70,0.70,0.00,"2,859.00",0.59,0.59,0.00
4,1.00,14.00,"2,416.00",0.82,0.83,0.00,"4,313.00",0.86,0.88,0.00,"2,110.00",0.82,0.83,0.00,"3,955.00",0.69,0.70,0.00,"2,948.00",0.59,0.59,0.00
4,1.00,15.00,"2,837.00",0.84,0.85,0.00,"4,639.00",0.86,0.89,0.00,"2,225.00",0.81,0.82,0.00,"4,457.00",0.69,0.70,0.00,"2,628.00",0.59,0.59,0.00
4,1.00,16.00,"2,110.00",0.82,0.83,0.00,"16,457.00",0.77,0.88,3.00,"1,460.00",0.83,0.84,2.00,"4,193.00",0.60,0.69,2.00,"2,772.00",0.59,0.59,0.00
5,1.00,17.00,"6,422.00",0.78,0.85,2.00,"7,822.00",0.82,0.89,2.00,"1,151.00",0.81,0.82,0.00,"9,185.00",0.60,0.70,2.00,"2,825.00",0.59,0.59,0.00
5,1.00,18.00,"4,539.00",0.81,0.85,2.00,"5,032.00",0.91,0.93,2.00,"1,744.00",0.85,0.85,0.00,"8,415.00",0.60,0.70,2.00,"2,972.00",0.59,0.59,0.00
5,1.00,19.00,"2,493.00",0.89,0.89,0.00,"4,595.00",0.91,0.93,0.00,"2,236.00",0.82,0.84,2.00,"7,959.00",0.60,0.70,0.00,"2,792.00",0.59,0.59,0.00
5,1.00,20.00,"2,262.00",0.85,0.85,0.00,"3,814.00",0.89,0.91,0.00,"11,123.00",0.76,0.91,3.00,"3,282.00",0.69,0.69,0.00,"2,722.00",0.59,0.59,0.00
6,1.00,21.00,"2,145.00",0.85,0.85,0.00,"3,854.00",0.89,0.91,0.00,"7,511.00",0.77,0.91,2.00,"3,390.00",0.69,0.69,0.00,"2,666.00",0.59,0.59,0.00
6,1.00,22.00,"11,996.00",0.71,0.86,3.00,"3,398.00",0.90,0.92,2.00,"1,469.00",0.84,0.85,2.00,"3,428.00",0.69,0.70,0.00,"2,853.00",0.59,0.59,0.00
6,1.00,23.00,"5,847.00",0.78,0.88,2.00,"3,778.00",0.92,0.94,2.00,"1,817.00",0.83,0.85,2.00,"4,121.00",0.69,0.70,0.00,"3,007.00",0.59,0.59,0.00
6,1.00,24.00,"2,257.00",0.85,0.86,2.00,"14,627.00",0.43,0.95,3.00,"1,374.00",0.84,0.84,2.00,"3,486.00",0.69,0.70,0.00,"2,844.00",0.59,0.59,0.00
7,1.00,25.00,"2,461.00",0.87,0.87,0.00,"7,529.00",0.82,0.93,2.00,"1,623.00",0.83,0.83,0.00,"4,119.00",0.69,0.70,0.00,"2,893.00",0.59,0.59,0.00
7,1.00,26.00,"2,075.00",0.86,0.88,2.00,"3,243.00",0.93,0.95,2.00,"1,448.00",0.84,0.84,0.00,"3,607.00",0.69,0.70,0.00,"2,178.00",0.59,0.59,0.00
7,1.00,27.00,"14,044.00",0.77,0.93,3.00,"4,215.00",0.90,0.92,2.00,"1,733.00",0.82,0.82,0.00,"5,107.00",0.67,0.68,0.00,"3,484.00",0.59,0.59,0.00
7,1.00,28.00,"4,521.00",0.80,0.89,0.00,"13,258.00",0.75,0.96,3.00,"1,133.00",0.78,0.78,0.00,"9,294.00",0.60,0.71,2.00,"2,709.00",0.59,0.59,0.00
8,1.00,29.00,"2,052.00",0.85,0.85,0.00,"9,907.00",0.76,0.93,2.00,"1,569.00",0.80,0.83,0.00,"7,919.00",0.60,0.70,0.00,"2,713.00",0.59,0.59,0.00
8,1.00,30.00,"1,762.00",0.85,0.86,0.00,"2,651.00",0.89,0.92,0.00,"4,441.00",0.78,0.93,2.00,"2,654.00",0.69,0.69,0.00,"1,974.00",0.59,0.59,0.00
8,1.00,31.00,"2,375.00",0.87,0.87,0.00,"4,388.00",0.91,0.92,2.00,"6,535.00",0.78,0.92,3.00,"3,952.00",0.72,0.72,0.00,"2,828.00",0.59,0.59,0.00
8,1.00,32.00,"3,256.00",0.88,0.88,0.00,"10,026.00",0.85,0.93,2.00,"2,084.00",0.88,0.88,2.00,"6,069.00",0.77,0.78,0.00,"2,995.00",0.59,0.59,0.00
9,1.00,33.00,"3,280.00",0.83,0.89,0.00,"17,133.00",0.78,0.98,3.00,"1,101.00",0.90,0.90,2.00,"12,298.00",0.67,0.73,3.00,"2,894.00",0.59,0.59,0.00
9,1.00,34.00,"27,254.00",0.69,1.00,3.00,"4,367.00",0.93,0.95,2.00,"1,005.00",0.87,0.88,2.00,"7,046.00",0.67,0.73,2.00,"3,024.00",0.58,0.59,0.00
9,1.00,35.00,"14,129.00",0.69,0.98,2.00,"3,806.00",0.92,0.94,2.00,"1,042.00",0.90,0.91,2.00,"2,988.00",0.78,0.78,2.00,"3,140.00",0.58,0.59,0.00
9,1.00,36.00,"2,906.00",0.90,0.93,2.00,"5,357.00",0.91,0.94,0.00,"1,889.00",0.87,0.93,2.00,"5,633.00",0.76,0.78,0.00,"3,524.00",0.58,0.59,0.00
10,1.00,37.00,"17,630.00",0.69,0.98,3.00,"19,452.00",0.68,0.99,3.00,"9,058.00",0.69,0.96,3.00,"6,805.00",0.68,0.77,3.00,"2,839.00",0.58,0.59,0.00
10,1.00,38.00,"9,431.00",0.73,0.96,2.00,"31,501.00",0.69,0.99,3.00,"5,122.00",0.73,0.95,2.00,"6,034.00",0.68,0.77,2.00,"3,015.00",0.58,0.59,1.00
10,1.00,39.00,"32,820.00",0.61,0.97,3.00,"10,600.00",0.73,0.97,2.00,"1,094.00",0.87,0.90,2.00,"3,403.00",0.71,0.75,2.00,"2,793.00",0.58,0.58,0.00
10,1.00,40.00,"12,635.00",0.67,0.94,2.00,"4,102.00",0.90,0.95,2.00,"1,264.00",0.89,0.91,2.00,"19,288.00",0.58,0.76,3.00,"2,663.00",0.58,0.58,0.00
11,1.00,41.00,"2,509.00",0.89,0.91,2.00,"3,685.00",0.91,0.95,2.00,"16,402.00",0.69,0.95,3.00,"10,834.00",0.59,0.77,2.00,"2,638.00",0.58,0.58,0.00
11,1.00,42.00,"2,184.00",0.89,0.91,2.00,"32,985.00",0.59,0.98,3.00,"6,691.00",0.71,0.96,2.00,"2,242.00",0.76,0.79,2.00,"2,653.00",0.58,0.58,0.00
11,1.00,43.00,"12,485.00",0.70,0.98,3.00,"13,473.00",0.65,0.97,2.00,919.00,0.87,0.90,2.00,"2,183.00",0.77,0.79,2.00,"2,553.00",0.58,0.58,0.00
11,1.00,44.00,"6,560.00",0.75,0.96,2.00,"3,407.00",0.90,0.93,0.00,"7,894.00",0.69,0.97,3.00,"2,419.00",0.77,0.79,0.00,"2,552.00",0.58,0.58,0.00
12,1.00,45.00,"2,647.00",0.92,0.95,2.00,"4,149.00",0.91,0.95,0.00,"4,107.00",0.74,0.95,2.00,"3,583.00",0.79,0.81,0.00,"3,010.00",0.58,0.58,0.00
12,1.00,46.00,"2,949.00",0.91,0.93,2.00,"4,705.00",0.92,0.96,0.00,"1,717.00",0.89,0.92,0.00,"4,044.00",0.79,0.80,0.00,"2,879.00",0.58,0.58,0.00
12,1.00,47.00,"3,016.00",0.91,0.93,2.00,"4,465.00",0.91,0.95,0.00,"1,703.00",0.90,0.92,0.00,"4,528.00",0.79,0.81,0.00,"2,939.00",0.58,0.58,0.00
12,1.00,48.00,"2,370.00",0.91,0.93,0.00,"3,885.00",0.91,0.94,0.00,"36,144.00",0.59,0.95,3.00,"5,017.00",0.71,0.76,2.00,"2,548.00",0.58,0.58,0.00
13,1.00,49.00,"2,006.00",0.91,0.93,0.00,"17,091.00",0.76,0.96,3.00,"11,361.00",0.62,0.94,2.00,"9,410.00",0.61,0.78,0.00,"2,504.00",0.58,0.58,0.00
13,1.00,50.00,"2,556.00",0.90,0.92,0.00,"9,125.00",0.77,0.97,2.00,"2,337.00",0.86,0.89,2.00,"9,045.00",0.61,0.77,0.00,"2,804.00",0.58,0.58,0.00
13,1.00,51.00,"13,808.00",0.69,0.99,3.00,"4,897.00",0.76,0.96,2.00,"1,427.00",0.88,0.92,2.00,"2,794.00",0.60,0.76,0.00,"2,888.00",0.58,0.58,0.00
13,1.00,52.00,"6,668.00",0.82,0.96,2.00,"4,501.00",0.77,0.96,2.00,"1,636.00",0.86,0.93,0.00,"3,362.00",0.61,0.75,0.00,"2,726.00",0.58,0.58,0.00
1,2.00,1.00,"5,463.00",0.94,0.94,2.00,"3,476.00",0.80,0.93,0.00,"1,852.00",0.94,0.94,0.00,"1,449.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
1,2.00,2.00,"4,295.00",0.94,0.94,2.00,"3,125.00",0.93,0.94,0.00,"2,489.00",0.94,0.94,0.00,"2,640.00",0.74,0.75,2.00,0.00,0.00,0.00,0.00
1,2.00,3.00,"8,643.00",0.94,0.94,2.00,"3,085.00",0.93,0.94,0.00,"2,311.00",0.94,0.94,2.00,"2,420.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
1,2.00,4.00,"4,658.00",0.46,0.95,0.00,"10,753.00",0.67,0.94,3.00,"1,534.00",0.94,0.94,0.00,"1,184.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
2,2.00,5.00,"3,245.00",0.94,0.94,2.00,"6,128.00",0.69,0.94,2.00,"1,663.00",0.94,0.94,0.00,"1,560.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
2,2.00,6.00,"3,459.00",0.94,0.95,2.00,"3,108.00",0.87,0.94,0.00,"12,588.00",0.60,0.94,3.00,"1,836.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
2,2.00,7.00,"3,367.00",0.94,0.94,2.00,"3,741.00",0.85,0.94,2.00,"1,697.00",0.94,0.94,0.00,"2,559.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
2,2.00,8.00,"3,248.00",0.94,0.95,2.00,"2,937.00",0.94,0.94,0.00,"1,739.00",0.94,0.94,0.00,"2,532.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
3,2.00,9.00,"3,517.00",0.95,0.95,0.00,"3,661.00",0.94,0.94,0.00,"1,914.00",0.94,0.94,0.00,"2,957.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
3,2.00,10.00,"3,414.00",0.95,0.95,0.00,"3,406.00",0.94,0.94,0.00,"2,221.00",0.94,0.94,2.00,"2,895.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
3,2.00,11.00,"3,290.00",1.00,1.00,0.00,"4,163.00",0.98,0.98,0.00,"2,530.00",0.94,0.94,2.00,"2,847.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
3,2.00,12.00,"3,154.00",1.00,1.00,0.00,"22,639.00",0.68,0.99,3.00,"1,718.00",0.94,0.94,0.00,"1,976.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
4,2.00,13.00,"3,122.00",1.01,1.01,2.00,"4,030.00",0.93,0.99,2.00,"2,393.00",0.94,0.94,0.00,"3,069.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
4,2.00,14.00,"2,584.00",1.03,1.03,2.00,"3,265.00",0.99,0.99,0.00,"4,167.00",0.92,0.94,2.00,"2,846.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
4,2.00,15.00,"2,719.00",1.03,1.03,2.00,"2,947.00",1.02,1.02,0.00,"3,793.00",0.92,0.94,2.00,"3,054.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
4,2.00,16.00,"2,371.00",1.03,1.03,0.00,"3,143.00",1.01,1.02,2.00,"2,869.00",0.94,0.94,2.00,"3,145.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
5,2.00,17.00,"2,435.00",1.02,1.03,2.00,"13,505.00",0.79,1.02,3.00,"1,349.00",0.94,0.94,2.00,"1,933.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
5,2.00,18.00,"2,534.00",1.03,1.03,0.00,"3,783.00",1.02,1.02,2.00,"1,454.00",1.01,1.01,2.00,"2,977.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
5,2.00,19.00,"2,178.00",1.03,1.03,2.00,"18,867.00",0.75,1.02,3.00,"1,270.00",1.02,1.02,2.00,"1,823.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
5,2.00,20.00,"5,164.00",0.84,1.03,2.00,"2,638.00",1.01,1.02,0.00,"1,821.00",1.01,1.02,2.00,"3,033.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
6,2.00,21.00,"2,857.00",1.03,1.03,0.00,"2,970.00",1.02,1.02,0.00,"1,883.00",1.02,1.02,2.00,"3,330.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
6,2.00,22.00,"2,677.00",1.06,1.06,0.00,"3,008.00",1.05,1.05,0.00,"2,048.00",1.02,1.02,0.00,"3,613.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
6,2.00,23.00,"6,954.00",1.07,1.07,2.00,"2,386.00",1.06,1.06,0.00,"1,663.00",1.02,1.02,0.00,"2,571.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
6,2.00,24.00,"6,805.00",0.80,1.06,1.00,"2,193.00",1.07,1.07,0.00,"1,211.00",1.02,1.02,0.00,"2,394.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
7,2.00,25.00,"1,789.00",1.08,1.08,0.00,"2,030.00",1.07,1.07,0.00,"1,183.00",1.02,1.02,0.00,"2,653.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
7,2.00,26.00,"1,855.00",1.07,1.07,0.00,"1,335.00",1.07,1.07,0.00,778.00,1.02,1.02,0.00,"1,946.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
7,2.00,27.00,"1,641.00",0.96,1.07,0.00,"8,525.00",0.83,1.07,3.00,640.00,1.02,1.02,0.00,"1,925.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
7,2.00,28.00,"2,159.00",0.95,1.07,0.00,"1,768.00",1.07,1.07,0.00,938.00,1.02,1.02,0.00,"2,420.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
8,2.00,29.00,"1,684.00",0.95,1.07,0.00,"1,951.00",1.07,1.07,0.00,935.00,1.02,1.02,0.00,"1,969.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
8,2.00,30.00,746.00,1.08,1.08,0.00,"5,377.00",1.07,1.07,0.00,620.00,1.02,1.02,0.00,"1,125.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
8,2.00,31.00,890.00,1.08,1.08,0.00,"9,557.00",0.79,1.07,2.00,777.00,1.02,1.02,0.00,"1,385.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
8,2.00,32.00,"1,343.00",1.09,1.09,0.00,"2,610.00",1.07,1.07,0.00,"18,971.00",0.69,1.02,3.00,"1,613.00",0.75,0.75,0.00,0.00,0.00,0.00,0.00
9,2.00,33.00,"1,258.00",1.08,1.08,0.00,"14,916.00",0.85,1.07,3.00,947.00,1.02,1.02,0.00,"1,510.00",0.89,0.89,0.00,0.00,0.00,0.00,0.00
9,2.00,34.00,"1,911.00",1.08,1.08,2.00,"3,321.00",1.06,1.07,2.00,"1,428.00",1.02,1.02,0.00,"2,693.00",0.89,0.89,0.00,0.00,0.00,0.00,0.00
9,2.00,35.00,"18,942.00",0.79,1.08,3.00,"1,954.00",1.07,1.07,0.00,"1,278.00",1.02,1.02,0.00,"1,270.00",0.89,0.89,0.00,0.00,0.00,0.00,0.00
9,2.00,36.00,"1,827.00",1.08,1.08,2.00,"2,812.00",1.07,1.07,0.00,"2,738.00",0.94,1.02,2.00,"11,153.00",0.67,0.89,3.00,0.00,0.00,0.00,0.00
10,2.00,37.00,"1,203.00",0.59,1.11,3.00,"2,235.00",1.05,1.07,2.00,"1,255.00",0.43,1.02,3.00,997.00,0.87,0.89,0.00,0.00,0.00,0.00,0.00
10,2.00,38.00,"1,627.00",1.09,1.12,0.00,"23,094.00",0.69,1.07,3.00,835.00,1.02,1.02,2.00,709.00,0.89,0.89,0.00,0.00,0.00,0.00,0.00
10,2.00,39.00,"22,867.00",0.69,1.12,3.00,"1,967.00",1.02,1.07,2.00,866.00,1.02,1.02,2.00,814.00,0.89,0.89,0.00,0.00,0.00,0.00,0.00
10,2.00,40.00,"1,564.00",0.92,1.11,2.00,"24,212.00",0.69,1.07,3.00,"1,102.00",1.01,1.02,2.00,700.00,0.88,0.89,2.00,0.00,0.00,0.00,0.00
11,2.00,41.00,"1,634.00",0.93,1.10,2.00,"2,831.00",1.06,1.07,2.00,"16,767.00",0.69,1.02,3.00,771.00,0.89,0.89,0.00,0.00,0.00,0.00,0.00
11,2.00,42.00,"1,316.00",0.98,1.11,0.00,"21,245.00",0.69,1.07,3.00,990.00,0.88,1.02,0.00,883.00,0.78,0.89,2.00,0.00,0.00,0.00,0.00
11,2.00,43.00,"21,145.00",0.69,1.10,3.00,"2,493.00",0.90,1.07,2.00,712.00,0.89,1.02,2.00,"1,082.00",0.80,0.89,0.00,0.00,0.00,0.00,0.00
11,2.00,44.00,"2,281.00",0.99,1.10,3.00,"2,330.00",0.93,1.07,2.00,"1,371.00",0.87,1.02,2.00,"6,140.00",0.69,0.89,3.00,0.00,0.00,0.00,0.00
12,2.00,45.00,"1,363.00",0.97,1.04,2.00,"2,122.00",0.92,1.07,0.00,"8,502.00",0.78,1.02,3.00,"3,556.00",0.69,0.89,2.00,0.00,0.00,0.00,0.00
12,2.00,46.00,"2,062.00",0.88,1.05,2.00,"3,881.00",0.80,1.07,2.00,"1,838.00",0.85,1.02,2.00,"4,063.00",0.69,0.89,0.00,0.00,0.00,0.00,0.00
12,2.00,47.00,"2,251.00",0.84,1.05,0.00,"4,534.00",0.93,1.07,0.00,"1,712.00",0.79,1.02,0.00,"3,145.00",0.69,0.89,0.00,0.00,0.00,0.00,0.00
12,2.00,48.00,"1,656.00",0.87,1.06,0.00,"12,067.00",0.75,1.07,2.00,"1,019.00",0.83,1.02,0.00,"1,067.00",0.79,0.89,0.00,0.00,0.00,0.00,0.00
13,2.00,49.00,"1,534.00",0.88,1.06,0.00,"6,919.00",0.74,1.06,2.00,"1,057.00",0.83,1.01,0.00,"8,494.00",0.67,0.87,3.00,0.00,0.00,0.00,0.00
13,2.00,50.00,"1,459.00",0.92,1.05,0.00,"7,243.00",0.79,1.06,2.00,938.00,0.86,1.01,0.00,"1,469.00",0.78,0.88,0.00,0.00,0.00,0.00,0.00
